angle_guard_total_width_bins,angle_total_width_bins,axis_sign,background_cell_count,bin_mode,candidate,excluded_area_ratio,false_alarm_count,formula,guard_ring_cell_count,mean_abs_peak_angle_error_deg,mean_contrast_db,measured_pfa_at_target_pfa_1e_2,median_abs_peak_angle_error_deg,p90_abs_peak_angle_error_deg,range_mask_name,scope_note,target_count,target_hit_count,target_mask_area_ratio,target_mask_cell_count,target_overlap_ratio,target_projection_hit_rate,threshold_at_pfa_1e_2,threshold_at_pfa_1e_3,unit_mode,valid_cell_count,weak_mean_contrast_db,weak_target_count,weak_target_hit_count,weak_target_overlap_ratio,weak_target_projection_hit_rate
7,1,normal,1221161,fftshift_linear_sin,atan2_px_py_current,0.03045525279471545,12625,"atan2(px, py)",35762,34.79427976145351,6.246318403140519,0.010338522111335033,29.586383355856704,70.43130950179058,narrow,D5C fixed-PFA RA smoke on validation/test split; no model training,387,29,0.0020618965955284552,2597,0.0,0.07493540051679587,63.78187217712403,68.19125888824462,degrees_correct,1259520,5.40259663460186,243,0,0.0,0.0
8,2,normal,1215864,fftshift_linear_sin,atan2_px_py_current,0.03466082317073171,12557,"atan2(px, py)",38462,34.79427976145351,6.818767626464213,0.010327635327635327,29.586383355856704,70.43130950179058,narrow,D5C fixed-PFA RA smoke on validation/test split; no model training,387,29,0.0041237931910569105,5194,0.0,0.07493540051679587,63.78394638061523,68.1881975479127,degrees_correct,1259520,6.0516856472188065,243,1,0.0,0.00411522633744856
9,3,normal,1210586,fftshift_linear_sin,atan2_px_py_current,0.03885130843495935,12497,"atan2(px, py)",41149,34.79427976145351,7.2921698025646755,0.01032309972195284,29.586383355856704,70.43130950179058,narrow,D5C fixed-PFA RA smoke on validation/test split; no model training,387,31,0.006180926067073171,7785,0.025839793281653745,0.08010335917312661,63.7841773223877,68.18170478820807,degrees_correct,1259520,6.595439942285357,243,1,0.0,0.00411522633744856
11,5,normal,1200053,fftshift_linear_sin,atan2_px_py_current,0.04721401803861788,12361,"atan2(px, py)",46504,34.79427976145351,8.135263014209363,0.010300378399954003,29.586383355856704,70.43130950179058,narrow,D5C fixed-PFA RA smoke on validation/test split; no model training,387,37,0.010292016006097561,12963,0.031007751937984496,0.09560723514211886,63.78606262207031,68.1808541564941,degrees_correct,1259520,7.567871768778734,243,6,0.0,0.024691358024691357
13,7,normal,1189695,fftshift_linear_sin,atan2_px_py_current,0.05543778582317073,12223,"atan2(px, py)",51684,34.79427976145351,8.812732479677027,0.010274061839379001,29.586383355856704,70.43130950179058,narrow,D5C fixed-PFA RA smoke on validation/test split; no model training,387,38,0.01440310594512195,18141,0.031007751937984496,0.09819121447028424,63.790624389648436,68.18596450805667,degrees_correct,1259520,8.364244625892168,243,6,0.0,0.024691358024691357
16,10,normal,1174643,fftshift_linear_sin,atan2_px_py_current,0.06738837017276422,12059,"atan2(px, py)",58969,34.79427976145351,9.698770547714036,0.010266097869735742,29.586383355856704,70.43130950179058,narrow,D5C fixed-PFA RA smoke on validation/test split; no model training,387,47,0.020569740853658536,25908,0.031007751937984496,0.12144702842377261,63.795605316162096,68.17579224395746,degrees_correct,1259520,9.428349137796786,243,15,0.0,0.06172839506172839
7,1,normal,1211894,fftshift_linear_sin,atan2_px_py_current,0.037851721290650404,12515,"atan2(px, py)",43642,34.67690749879233,7.096689593884372,0.01032681076067709,29.586383355856704,68.06189023115901,default,D5C fixed-PFA RA smoke on validation/test split; no model training,387,33,0.0032020134654471544,4033,0.0,0.08527131782945736,63.79273666381836,68.20242883300777,degrees_correct,1259520,6.144596958888396,262,1,0.0,0.003816793893129771
8,2,normal,1205370,fftshift_linear_sin,atan2_px_py_current,0.0430370299796748,12434,"atan2(px, py)",46148,34.67690749879233,7.678460941758266,0.010315504782763798,29.586383355856704,68.06189023115901,default,D5C fixed-PFA RA smoke on validation/test split; no model training,387,36,0.006397675304878048,8058,0.015503875968992248,0.09302325581395349,63.79544952392578,68.19707080078126,degrees_correct,1259520,6.780898130577029,262,3,0.0,0.011450381679389313
9,3,normal,1198877,fftshift_linear_sin,atan2_px_py_current,0.048197726117886176,12356,"atan2(px, py)",48694,34.67690749879233,8.098684877696272,0.01030631165665869,29.586383355856704,68.06189023115901,default,D5C fixed-PFA RA smoke on validation/test split; no model training,387,38,0.009536966463414634,12012,0.12919896640826872,0.09819121447028424,63.79603576660156,68.19130521392823,degrees_correct,1259520,7.252210151148207,262,3,0.011450381679389313,0.011450381679389313
11,5,normal,1185941,fftshift_linear_sin,atan2_px_py_current,0.05847942073170732,12199,"atan2(px, py)",53771,34.67690749879233,8.928279709138303,0.01028634645399729,29.586383355856704,68.06189023115901,default,D5C fixed-PFA RA smoke on validation/test split; no model training,387,45,0.015787760416666668,19885,0.17054263565891473,0.11627906976744186,63.79758781433105,68.19142079162599,degrees_correct,1259520,8.225285988727599,262,8,0.03435114503816794,0.030534351145038167
13,7,normal,1173280,fftshift_linear_sin,atan2_px_py_current,0.06854277820121951,12047,"atan2(px, py)",58612,34.67690749879233,9.581400218244054,0.01026779626346652,29.586383355856704,68.06189023115901,default,D5C fixed-PFA RA smoke on validation/test split; no model training,387,46,0.02200759019308943,27719,0.21705426356589147,0.11886304909560723,63.800003128051756,68.19722872924805,degrees_correct,1259520,9.027531631120288,262,8,0.0648854961832061,0.030534351145038167
16,10,normal,1154930,fftshift_linear_sin,atan2_px_py_current,0.08312690548780488,11837,"atan2(px, py)",65257,34.67690749879233,10.455909315005753,0.010249106006424633,29.586383355856704,68.06189023115901,default,D5C fixed-PFA RA smoke on validation/test split; no model training,387,61,0.0313158981199187,39443,0.23255813953488372,0.15762273901808785,63.802084045410126,68.18396049499512,degrees_correct,1259520,10.099648628526062,262,20,0.0648854961832061,0.07633587786259542
7,1,normal,1202334,fftshift_linear_sin,atan2_px_py_current,0.04547526041666667,12418,"atan2(px, py)",51726,32.6206675016644,8.0701895425486,0.010328244897008652,29.268275987105024,64.12497780150628,wide,D5C fixed-PFA RA smoke on validation/test split; no model training,387,42,0.00440723450203252,5551,0.0,0.10852713178294573,63.7946366882324,68.2132071990967,degrees_correct,1259520,6.865191859824985,255,2,0.0,0.00784313725490196
8,2,normal,1194551,fftshift_linear_sin,atan2_px_py_current,0.051664919969512196,12324,"atan2(px, py)",53988,32.6206675016644,8.65722331951447,0.010316847083129979,29.268275987105024,64.12497780150628,wide,D5C fixed-PFA RA smoke on validation/test split; no model training,387,45,0.008800971798780487,11085,0.015503875968992248,0.11627906976744186,63.795764770507816,68.2107632446289,degrees_correct,1259520,7.4813842175053615,255,3,0.0,0.011764705882352941
9,3,normal,1186812,fftshift_linear_sin,atan2_px_py_current,0.057819645579268296,12237,"atan2(px, py)",56343,32.6206675016644,9.05839844144284,0.010310815866371422,29.268275987105024,64.12497780150628,wide,D5C fixed-PFA RA smoke on validation/test split; no model training,387,49,0.0130859375,16482,0.12919896640826872,0.12661498708010335,63.794875335693355,68.20615341186507,degrees_correct,1259520,7.927237910850375,255,3,0.0,0.011764705882352941
11,5,normal,1171450,fftshift_linear_sin,atan2_px_py_current,0.07003699822154472,12053,"atan2(px, py)",61017,32.6206675016644,9.88089055300375,0.010288958128814717,29.268275987105024,64.12497780150628,wide,D5C fixed-PFA RA smoke on validation/test split; no model training,387,59,0.02159235264227642,27196,0.19638242894056848,0.1524547803617571,63.79352569580078,68.20795135498047,degrees_correct,1259520,8.883235632204542,255,8,0.054901960784313725,0.03137254901960784
13,7,normal,1156487,fftshift_linear_sin,atan2_px_py_current,0.08193756351626016,11887,"atan2(px, py)",65421,32.6206675016644,10.549821296711608,0.010278541825372875,29.268275987105024,64.12497780150628,wide,D5C fixed-PFA RA smoke on validation/test split; no model training,387,67,0.02999634781504065,37781,0.25839793281653745,0.1731266149870801,63.791502952575705,68.2079500427246,degrees_correct,1259520,9.683483108819699,255,13,0.09803921568627451,0.050980392156862744
16,10,normal,1134863,fftshift_linear_sin,atan2_px_py_current,0.09913538490853659,11673,"atan2(px, py)",71291,32.6206675016644,11.473932645733658,0.010285823046482262,29.268275987105024,64.12497780150628,wide,D5C fixed-PFA RA smoke on validation/test split; no model training,387,84,0.04253366361788618,53572,0.3023255813953488,0.21705426356589147,63.78718055725098,68.1736164779663,degrees_correct,1259520,10.789109248741001,255,24,0.12941176470588237,0.09411764705882353
7,1,normal,1233961,fftshift_linear_sin,atan2_py_px_current,0.02029265116869919,12660,"atan2(py, px)",22978,64.98783601934387,5.1523252975109015,0.010259643538166928,54.03424643570049,123.77214637830652,narrow,D5C fixed-PFA RA smoke on validation/test split; no model training,387,12,0.0020491933434959348,2581,0.03875968992248062,0.031007751937984496,63.83130950927735,68.41720695495604,degrees_correct,1259520,4.926884388236843,243,5,0.0,0.0205761316872428
8,2,normal,1229207,fftshift_linear_sin,atan2_py_px_current,0.02406710492886179,12610,"atan2(py, px)",25206,64.98783601934387,5.715250552470678,0.010258646428144324,54.03424643570049,123.77214637830652,narrow,D5C fixed-PFA RA smoke on validation/test split; no model training,387,17,0.004054719258130082,5107,0.10335917312661498,0.04392764857881137,63.833864517211914,68.42121673583983,degrees_correct,1259520,5.535447234479488,243,8,0.012345679012345678,0.03292181069958848
9,3,normal,1228494,fftshift_linear_sin,atan2_py_px_current,0.024633193597560974,12602,"atan2(py, px)",24201,64.98783601934387,6.037711870454695,0.010258088358591901,54.03424643570049,123.77214637830652,narrow,D5C fixed-PFA RA smoke on validation/test split; no model training,387,18,0.005418730945121951,6825,0.14470284237726097,0.046511627906976744,63.834761505126934,68.42134201049805,degrees_correct,1259520,5.999946358763141,243,8,0.04526748971193416,0.03292181069958848
11,5,normal,1223201,fftshift_linear_sin,atan2_py_px_current,0.028835588160569105,12535,"atan2(py, px)",26262,64.98783601934387,6.494439718951242,0.01024770254438968,54.03424643570049,123.77214637830652,narrow,D5C fixed-PFA RA smoke on validation/test split; no model training,387,20,0.007984787855691056,10057,0.19121447028423771,0.05167958656330749,63.838582611083964,68.43076599121066,degrees_correct,1259520,6.4559460863655,243,10,0.09465020576131687,0.0411522633744856
13,7,normal,1217988,fftshift_linear_sin,atan2_py_px_current,0.032974466463414634,12488,"atan2(py, px)",28484,64.98783601934387,6.690693266323986,0.01025297457774625,54.03424643570049,123.77214637830652,narrow,D5C fixed-PFA RA smoke on validation/test split; no model training,387,25,0.010359502032520325,13048,0.19896640826873385,0.06459948320413436,63.84147071838379,68.43722198486327,degrees_correct,1259520,6.580283710495435,243,11,0.09465020576131687,0.04526748971193416
16,10,normal,1208282,fftshift_linear_sin,atan2_py_px_current,0.040680576727642276,12412,"atan2(py, px)",32889,64.98783601934387,6.632575170630324,0.010272436401436089,54.03424643570049,123.77214637830652,narrow,D5C fixed-PFA RA smoke on validation/test split; no model training,387,28,0.014568248221544716,18349,0.21705426356589147,0.07235142118863049,63.843959922790525,68.44432818603515,degrees_correct,1259520,6.407681877230421,243,11,0.09876543209876543,0.04526748971193416
7,1,normal,1228208,fftshift_linear_sin,atan2_py_px_current,0.02489916793699187,12573,"atan2(py, px)",27410,65.76688000102152,5.973826208779978,0.010236865416932637,54.03424643570049,125.96575356429952,default,D5C fixed-PFA RA smoke on validation/test split; no model training,387,13,0.003136909298780488,3951,0.10594315245478036,0.03359173126614987,63.840189514160144,68.42153060913087,degrees_correct,1259520,5.813500411637866,262,8,0.0,0.030534351145038167
8,2,normal,1222505,fftshift_linear_sin,atan2_py_px_current,0.029432641006097562,12521,"atan2(py, px)",29332,65.76688000102152,6.47387985111207,0.010242084899448264,54.03424643570049,125.96575356429952,default,D5C fixed-PFA RA smoke on validation/test split; no model training,387,17,0.006144404217479675,7739,0.31007751937984496,0.04392764857881137,63.84391159057617,68.43412318420417,degrees_correct,1259520,6.345797240279103,262,10,0.1297709923664122,0.03816793893129771
9,3,normal,1221600,fftshift_linear_sin,atan2_py_px_current,0.030156726371951218,12510,"atan2(py, px)",27717,65.76688000102152,6.827599833486,0.010240667976424362,54.03424643570049,125.96575356429952,default,D5C fixed-PFA RA smoke on validation/test split; no model training,387,19,0.008150724085365853,10266,0.3772609819121447,0.04909560723514212,63.84447753906249,68.43464001464845,degrees_correct,1259520,6.780278096672233,262,10,0.1717557251908397,0.03816793893129771
11,5,normal,1215233,fftshift_linear_sin,atan2_py_px_current,0.035222942073170734,12449,"atan2(py, px)",29248,65.76688000102152,7.2376734809974055,0.010244126023569142,54.03424643570049,125.96575356429952,default,D5C fixed-PFA RA smoke on validation/test split; no model training,387,24,0.012001397357723577,15116,0.4392764857881137,0.06201550387596899,63.847766723632816,68.43881378173829,degrees_correct,1259520,7.186796057315273,262,12,0.25190839694656486,0.04580152671755725
13,7,normal,1208978,fftshift_linear_sin,atan2_py_px_current,0.04019944105691057,12385,"atan2(py, px)",31025,65.76688000102152,7.366598025772923,0.010244189720573907,54.03424643570049,125.96575356429952,default,D5C fixed-PFA RA smoke on validation/test split; no model training,387,27,0.015567041412601627,19607,0.45478036175710596,0.06976744186046512,63.85240982055663,68.44433099365234,degrees_correct,1259520,7.291378283318672,262,13,0.27099236641221375,0.04961832061068702
16,10,normal,1197359,fftshift_linear_sin,atan2_py_px_current,0.04944026295731707,12290,"atan2(py, px)",34792,65.76688000102152,7.2140770057067085,0.010264256584700161,54.03424643570049,125.96575356429952,default,D5C fixed-PFA RA smoke on validation/test split; no model training,387,31,0.021817041412601625,27479,0.46511627906976744,0.08010335917312661,63.85617824554443,68.45898780822753,degrees_correct,1259520,7.0492893830510495,262,14,0.27099236641221375,0.05343511450381679
