achieved_sir_db,frame_id,frame_idx,interference_params_json,num_interferers,sir_name,source_sequence,target_sir_db
10.0,d1a_000001,0,"[{""interferer_id"": 0, ""phase0_rad"": 1.3713290667952012, ""fast_freq_norm"": 0.2263032629240957, ""slope_mismatch_norm"": -6.916097529113138, ""time_offset_norm"": 0.1959888180513777, ""slow_time_freq_cycles_per_chirp"": -0.06013810921308025, ""amp_jitter"": 1.0227478230727702}]",1,light,2019_04_30_mlms000,10.0
9.64327466553287e-16,d1a_000001,0,"[{""interferer_id"": 0, ""phase0_rad"": 0.8925229633354403, ""fast_freq_norm"": 0.3355818135166884, ""slope_mismatch_norm"": -7.494629325973711, ""time_offset_norm"": -0.349857783690927, ""slow_time_freq_cycles_per_chirp"": -0.05124350594398523, ""amp_jitter"": 1.0270886412076887}, {""interferer_id"": 1, ""phase0_rad"": 3.174705000178321, ""fast_freq_norm"": 0.1209074737093439, ""slope_mismatch_norm"": 1.6705026810416062, ""time_offset_norm"": 0.14509712911875378, ""slow_time_freq_cycles_per_chirp"": -0.025681835885619696, ""amp_jitter"": 0.8067702104312854}]",2,medium,2019_04_30_mlms000,0.0
9.999999999999998,d1a_000002,1,"[{""interferer_id"": 0, ""phase0_rad"": 6.128820790409523, ""fast_freq_norm"": 0.1408045367375535, ""slope_mismatch_norm"": 1.5188802219486206, ""time_offset_norm"": 0.010461850517376081, ""slow_time_freq_cycles_per_chirp"": 0.028240322475940355, ""amp_jitter"": 1.1110176378860186}]",1,light,2019_04_30_mlms000,10.0
0.0,d1a_000002,1,"[{""interferer_id"": 0, ""phase0_rad"": 5.4336983027099155, ""fast_freq_norm"": 0.3069384051940888, ""slope_mismatch_norm"": 5.731003842700655, ""time_offset_norm"": -0.33703514569365084, ""slow_time_freq_cycles_per_chirp"": -0.06086674040023179, ""amp_jitter"": 0.767162443699887}, {""interferer_id"": 1, ""phase0_rad"": 4.829590085314193, ""fast_freq_norm"": 0.262003563595912, ""slope_mismatch_norm"": -6.295935987781773, ""time_offset_norm"": -0.07232231839460063, ""slow_time_freq_cycles_per_chirp"": -0.05260740067299073, ""amp_jitter"": 0.8136193997511958}]",2,medium,2019_04_30_mlms000,0.0
9.999999999999996,d1a_000003,2,"[{""interferer_id"": 0, ""phase0_rad"": 5.211871904943711, ""fast_freq_norm"": -0.23306284883134903, ""slope_mismatch_norm"": 4.5468278078673166, ""time_offset_norm"": -0.15831459608331686, ""slow_time_freq_cycles_per_chirp"": 0.007002589322346903, ""amp_jitter"": 1.042044952341738}]",1,light,2019_04_30_mlms000,10.0
9.64327466553287e-16,d1a_000003,2,"[{""interferer_id"": 0, ""phase0_rad"": 0.32091334610449457, ""fast_freq_norm"": 0.27342431684202245, ""slope_mismatch_norm"": 7.223217989180149, ""time_offset_norm"": 0.2543820852082992, ""slow_time_freq_cycles_per_chirp"": -0.036045041663769775, ""amp_jitter"": 1.0684665794929125}, {""interferer_id"": 1, ""phase0_rad"": 0.12977117603844884, ""fast_freq_norm"": 0.17204764088263508, ""slope_mismatch_norm"": 5.984535750696404, ""time_offset_norm"": -0.3464262119977361, ""slow_time_freq_cycles_per_chirp"": 0.05437081599354783, ""amp_jitter"": 1.2243189249565742}]",2,medium,2019_04_30_mlms000,0.0
9.999999999999995,d1a_000004,3,"[{""interferer_id"": 0, ""phase0_rad"": 1.4195067172725029, ""fast_freq_norm"": 0.2922240184133927, ""slope_mismatch_norm"": -1.4841986410471844, ""time_offset_norm"": 0.07735595213238794, ""slow_time_freq_cycles_per_chirp"": -0.05520375123541124, ""amp_jitter"": 0.9551976826483277}]",1,light,2019_04_30_mlms000,10.0
-4.821637332766436e-16,d1a_000004,3,"[{""interferer_id"": 0, ""phase0_rad"": 3.081188598353899, ""fast_freq_norm"": 0.212787083527391, ""slope_mismatch_norm"": 1.6006224453675593, ""time_offset_norm"": 0.09962272885123025, ""slow_time_freq_cycles_per_chirp"": 0.06729874223367287, ""amp_jitter"": 0.9873438932728069}, {""interferer_id"": 1, ""phase0_rad"": 2.1501990150280275, ""fast_freq_norm"": -0.03998815203861056, ""slope_mismatch_norm"": 7.499913541836163, ""time_offset_norm"": 0.046482380164073356, ""slow_time_freq_cycles_per_chirp"": 0.07471200216954384, ""amp_jitter"": 1.0933073044227761}]",2,medium,2019_04_30_mlms000,0.0
9.999999999999995,d1a_000005,4,"[{""interferer_id"": 0, ""phase0_rad"": 1.102788486748542, ""fast_freq_norm"": 0.3420847860578112, ""slope_mismatch_norm"": -4.224637115936198, ""time_offset_norm"": 0.08329073379032603, ""slow_time_freq_cycles_per_chirp"": 0.013334375719994976, ""amp_jitter"": 1.021332264266811}]",1,light,2019_04_30_mlms000,10.0
0.0,d1a_000005,4,"[{""interferer_id"": 0, ""phase0_rad"": 3.3453387864969155, ""fast_freq_norm"": 0.05227197864248223, ""slope_mismatch_norm"": 1.1702773676241431, ""time_offset_norm"": -0.23384572246187624, ""slow_time_freq_cycles_per_chirp"": -0.05006031373871006, ""amp_jitter"": 0.8054110791088138}, {""interferer_id"": 1, ""phase0_rad"": 0.7857362938869404, ""fast_freq_norm"": 0.3078492155518899, ""slope_mismatch_norm"": 2.7648848601875056, ""time_offset_norm"": 0.014539735182849234, ""slow_time_freq_cycles_per_chirp"": 0.01455485955512538, ""amp_jitter"": 1.2287424269101332}]",2,medium,2019_04_30_mlms000,0.0
