background_cell_ratio,background_cells,frame_idx,guard_cell_ratio,guard_cells,new_frame_id,source_sequence,target_cell_ratio,target_cells,valid_cells
0.8048780487804879,99,0,0.06504065040650407,8,d1a_000001,2019_04_30_mlms000,0.13008130081300814,16,123
0.8130081300813008,100,1,0.06504065040650407,8,d1a_000002,2019_04_30_mlms000,0.12195121951219512,15,123
0.8048780487804879,99,2,0.06504065040650407,8,d1a_000003,2019_04_30_mlms000,0.13008130081300814,16,123
0.8048780487804879,99,3,0.06504065040650407,8,d1a_000004,2019_04_30_mlms000,0.13008130081300814,16,123
0.8130081300813008,100,4,0.06504065040650407,8,d1a_000005,2019_04_30_mlms000,0.12195121951219512,15,123
0.8130081300813008,100,5,0.06504065040650407,8,d1a_000006,2019_04_30_mlms000,0.12195121951219512,15,123
0.8048780487804879,99,6,0.06504065040650407,8,d1a_000007,2019_04_30_mlms000,0.13008130081300814,16,123
0.8048780487804879,99,7,0.06504065040650407,8,d1a_000008,2019_04_30_mlms000,0.13008130081300814,16,123
0.8048780487804879,99,8,0.06504065040650407,8,d1a_000009,2019_04_30_mlms000,0.13008130081300814,16,123
0.7560975609756098,93,9,0.056910569105691054,7,d1a_000010,2019_04_30_mlms000,0.2032520325203252,25,123
0.7560975609756098,93,10,0.056910569105691054,7,d1a_000011,2019_04_30_mlms000,0.2032520325203252,25,123
0.7560975609756098,93,11,0.056910569105691054,7,d1a_000012,2019_04_30_mlms000,0.2032520325203252,25,123
0.7560975609756098,93,12,0.056910569105691054,7,d1a_000013,2019_04_30_mlms000,0.2032520325203252,25,123
0.7560975609756098,93,13,0.056910569105691054,7,d1a_000014,2019_04_30_mlms000,0.2032520325203252,25,123
0.7479674796747967,92,14,0.06504065040650407,8,d1a_000015,2019_04_30_mlms000,0.1951219512195122,24,123
0.7479674796747967,92,15,0.06504065040650407,8,d1a_000016,2019_04_30_mlms000,0.1951219512195122,24,123
0.7479674796747967,92,16,0.06504065040650407,8,d1a_000017,2019_04_30_mlms000,0.1951219512195122,24,123
0.7479674796747967,92,17,0.06504065040650407,8,d1a_000018,2019_04_30_mlms000,0.1951219512195122,24,123
0.7479674796747967,92,18,0.06504065040650407,8,d1a_000019,2019_04_30_mlms000,0.18699186991869918,23,123
0.7479674796747967,92,19,0.06504065040650407,8,d1a_000020,2019_04_30_mlms000,0.18699186991869918,23,123
