azimuth_deg,balanced_hit,balanced_threshold,cfar_margin_db,class_group,class_id,frame_id,frame_idx,hit_status,in_non_overlap,range_bin,range_m,row_type,source_sequence,split_cfar_margin,split_peak,target_id,target_peak_db,weak_weighted_hit,weak_weighted_threshold
-0.43038273719166636,True,3.9346689482589885,9.122027753184447,vehicle_like,2,d1a_000041,40,both_hit,True,48,10.6503004652451,weak_target_hit_status,2019_04_30_mlms000,mid,weak,114,57.014521973955524,True,3.8951532813354093
3.1731494351209384,True,3.9346689482589885,7.679018843987709,vehicle_like,2,d1a_000049,48,both_hit,True,64,14.27188144569594,weak_target_hit_status,2019_04_30_mlms000,mid,weak,138,53.85396029864409,True,3.8951532813354093
17.93070855633519,False,3.9346689482589885,4.499802957760627,cyclist_like,80,d1a_000050,49,both_miss,False,26,5.749243428486917,weak_target_hit_status,2019_04_30_mlms000,weak,weak,140,56.06411006034233,False,3.8951532813354093
4.954551414624265,True,3.9346689482589885,10.690538444732578,vehicle_like,2,d1a_000050,49,both_hit,True,66,14.704944746580995,weak_target_hit_status,2019_04_30_mlms000,mid,weak,141,56.51897376969882,True,3.8951532813354093
5.880353650698349,True,3.9346689482589885,7.016232607185504,vehicle_like,2,d1a_000056,55,both_hit,True,89,19.81426253989787,weak_target_hit_status,2019_04_30_mlms000,weak,weak,159,53.644573135849605,True,3.8951532813354093
7.689319595865159,False,3.9346689482589885,5.662252644346902,vehicle_like,2,d1a_000064,63,both_miss,True,102,22.794968743123995,weak_target_hit_status,2019_04_30_mlms000,weak,weak,183,51.967602356603095,False,3.8951532813354093
8.609840492783356,True,3.9346689482589885,8.564253677138003,vehicle_like,2,d1a_000067,66,both_hit,True,106,23.64647965342833,weak_target_hit_status,2019_04_30_mlms000,mid,weak,192,55.22834177442003,True,3.8951532813354093
12.277476483368364,True,3.9346689482589885,6.7609745657472375,cyclist_like,80,d1a_000077,76,both_hit,False,34,7.66531147442816,weak_target_hit_status,2019_04_30_mlms000,weak,weak,212,55.56322014090685,True,3.8951532813354093
12.308015817427925,True,3.9346689482589885,7.368410331241248,cyclist_like,80,d1a_000080,79,both_hit,False,35,7.881142049221039,weak_target_hit_status,2019_04_30_mlms000,mid,weak,218,56.49743780285259,True,3.8951532813354093
11.347618795824875,True,3.9346689482589885,6.179563632353297,cyclist_like,80,d1a_000089,88,both_hit,False,40,8.944858858584633,weak_target_hit_status,2019_04_30_mlms000,weak,weak,236,54.44459104009286,True,3.8951532813354093
